task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00211,SORT_TASK,5,51784,51789,51838,51838,49,COMPLETED,worker-1,3
mixed-42-00212,COMPRESS_TASK,6,51912,51923,51950,52173,250,COMPLETED,worker-1,243
mixed-42-00213,COMPRESS_TASK,8,51942,51950,52070,52175,225,COMPLETED,worker-1,124
mixed-42-00214,MONTE_CARLO_TASK,6,52054,52058,52071,52176,118,COMPLETED,worker-1,80
mixed-42-00215,HASH_TASK,3,52092,52096,52178,52178,82,COMPLETED,worker-1,2
mixed-42-00216,SLEEP_TASK,9,52637,52642,52723,52841,199,COMPLETED,worker-1,176
mixed-42-00217,SLEEP_TASK,1,52650,52655,52724,53410,755,COMPLETED,worker-1,675
mixed-42-00218,COMPRESS_TASK,5,52770,52785,52845,53063,278,COMPLETED,worker-1,206
mixed-42-00219,HTTP_TASK,6,52818,52823,52847,52953,130,COMPLETED,worker-1,119
mixed-42-00220,HASH_TASK,7,52866,52869,52955,52955,86,COMPLETED,worker-1,18
mixed-42-00221,SORT_TASK,10,52959,52962,53066,53066,104,COMPLETED,worker-1,3
mixed-42-00222,CPU_TASK,9,52962,52964,53068,53068,104,COMPLETED,worker-1,5
mixed-42-00223,FILE_IO_TASK,4,53010,53016,53070,53070,54,COMPLETED,worker-1,29
mixed-42-00224,SORT_TASK,6,53089,53097,53190,53190,93,COMPLETED,worker-1,2
mixed-42-00225,HASH_TASK,2,53137,53141,53192,53192,51,COMPLETED,worker-1,10
mixed-42-00226,HASH_TASK,8,53345,53366,53412,53528,162,COMPLETED,worker-1,56
mixed-42-00227,SORT_TASK,8,53382,53394,53414,53531,137,COMPLETED,worker-1,50
mixed-42-00228,HASH_TASK,9,53464,53466,53534,53534,68,COMPLETED,worker-1,3
mixed-42-00229,COMPRESS_TASK,5,53517,53530,53638,53749,219,COMPLETED,worker-1,116
mixed-42-00230,FILE_IO_TASK,2,53613,53618,53641,53751,133,COMPLETED,worker-1,42
mixed-42-00231,GRAPH_TASK,8,53628,53638,53754,53754,116,COMPLETED,worker-1,8
mixed-42-00232,SORT_TASK,4,53713,53721,53757,53878,157,COMPLETED,worker-1,48
mixed-42-00233,SLEEP_TASK,2,53954,53964,53996,54663,699,COMPLETED,worker-1,661
mixed-42-00234,MATRIX_TASK,9,54007,54018,54099,54099,81,COMPLETED,worker-1,35
mixed-42-00235,COMPRESS_TASK,7,54048,54054,54101,54211,157,COMPLETED,worker-1,83
mixed-42-00236,HASH_TASK,2,54178,54180,54213,54213,33,COMPLETED,worker-1,6
mixed-42-00237,MATRIX_TASK,9,54182,54185,54214,54214,29,COMPLETED,worker-1,1
mixed-42-00238,SORT_TASK,10,54234,54236,54331,54331,95,COMPLETED,worker-1,0
mixed-42-00239,GRAPH_TASK,8,54324,54340,54446,54446,106,COMPLETED,worker-1,27
mixed-42-00240,COMPRESS_TASK,6,54381,54384,54447,54776,392,COMPLETED,worker-1,293
mixed-42-00241,COMPRESS_TASK,10,54470,54473,54555,54780,307,COMPLETED,worker-1,280
mixed-42-00242,SLEEP_TASK,5,54777,54788,54897,55010,222,COMPLETED,worker-1,120
mixed-42-00243,FILE_IO_TASK,1,54826,54831,54898,54898,67,COMPLETED,worker-1,22
